,pct_shot_first_time,pct_shot_follows_dribble,pct_shot_open_goal,pct_shot_dominant_foot,pct_shot_header,pct_shot_goal_scored,pct_shot_taken_saved,shots_per_minute,goals_over_expected,pct_shot_from_q1_dist,pct_shot_from_q2_dist,pct_shot_from_q3_dist,pct_shot_from_q4_dist,pct_shots_taken_in_arc,pct_of_goals_from_arc,pct_shots_taken_in_box,pct_of_goals_from_box,avg_progress_to_goal_shooting_on_per_carry,avg_distance_traveled_per_carry,pct_carrying_team_possession,pct_miscontrol,pct_dispossessed,carries,pct_duel_won,duels_per_minute,foul_committed_per_minute,yellow_cards_per_minute,red_cards_per_minute,defensive_pressures_applied_per_minute,defensive_blocks_per_minute,defensive_interceptions_per_minute,MINUTES_ON_PITCH,pass_attempt,pass_success_pct,pass_attempts_per_minute,percent_cross_success,percent_through_ball_success,percent_pass_through_ball,percent_pass_cross,percent_q1_pass_dist,percent_q2_pass_dist,percent_q3_pass_dist,percent_q4_pass_dist,pass_shot_assist_per_minute,cluster
0,0.22302158273381295,0.0,0.0,0.762589928057554,0.0,0.06474820143884892,0.007194244604316547,0.03248346614942394,0.870850408449769,0.02877697841726619,0.12949640287769784,0.3669064748201439,0.4748201438848921,0.6906474820143885,0.4444444444444444,0.2517985611510791,0.5555555555555556,2.0949441041967467,5.693516208992631,0.04126340181950619,0.04066877541798464,0.039313149570718485,2213.0,0.6379310344827587,0.012976552711652049,0.0,0.0004474673348845534,0.0,0.1295417934490782,0.01431895471630571,0.002908537676749597,4469.600000000001,2675.0,0.2108411214953271,0.59848756040809,0.2621359223300971,0.4074074074074074,0.010093457943925233,0.03850467289719626,0.20523364485981307,0.21869158878504674,0.24897196261682242,0.32710280373831774,0.029532844102380516,0
1,0.34782608695652173,0.0,0.0,0.8913043478260869,0.06521739130434782,0.0,0.021739130434782608,0.02256487401278676,-2.706043381243944,0.13043478260869565,0.08695652173913043,0.3695652173913043,0.41304347826086957,0.6521739130434783,0.0,0.30434782608695654,0.0,1.9471210058219786,5.684845211542936,0.06063857895317194,0.02443609022556391,0.02944862155388471,1596.0,0.65,0.023837270897340817,0.0007945756965780272,0.0011918635448670408,0.0,0.17917681957834514,0.021056255959317722,0.0063566055726242176,2517.066666666666,1739.0,0.097757331799885,0.690883568174595,0.2,0.3333333333333333,0.0017251293847038527,0.008625646923519264,0.21046578493387005,0.24036802760207016,0.2564692351926394,0.29269695227142034,0.0067538934209132335,2
2,0.3103448275862069,0.0,0.06896551724137931,0.3793103448275862,0.5517241379310345,0.2413793103448276,0.034482758620689655,0.020489872821479037,1.7867206037044525,0.6551724137931034,0.2413793103448276,0.0,0.10344827586206896,0.10344827586206896,0.2857142857142857,0.896551724137931,0.7142857142857143,1.7917528819560906,5.2070225027197905,0.04443134067059797,0.006439742410303588,0.003219871205151794,2174.0,0.6129032258064516,0.013447322283875867,0.00021689229490122364,0.00021689229490122364,0.0,0.08567245648598334,0.020387875720715022,0.00477163048782692,4610.583333333333,2684.0,0.06073025335320417,0.5821389195148843,1.0,0.0,0.0014903129657228018,0.00037257824143070045,0.19187779433681074,0.2593144560357675,0.3174366616989568,0.23137108792846497,0.00043378458980244727,3
3,0.4,0.0,0.0,0.8,0.0,0.2,0.0,0.017487612940833577,0.8562067039310932,0.0,0.0,0.2,0.8,1.0,1.0,0.0,0.0,0.906620590854413,2.6916921104334572,0.03626770526916712,0.0,0.01932367149758454,207.0,0.3333333333333333,0.010492567764500145,0.0,0.00699504517633343,0.0,0.12591081317400174,0.01399009035266686,0.003497522588166715,285.9166666666667,235.0,0.09787234042553192,0.821917808219178,1.0,0.0,0.0,0.00425531914893617,0.3404255319148936,0.3148936170212766,0.2425531914893617,0.10212765957446808,0.017487612940833574,2
4,0.5555555555555556,0.0,0.0,0.5555555555555556,0.2222222222222222,0.0,0.0,0.031576177528286994,-1.29527797549963,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0694202861329665,3.589056775603105,0.013175311547053254,0.072,0.072,125.0,0.0,0.003508464169809666,0.001754232084904833,0.001754232084904833,0.0,0.07543197965090782,0.001754232084904833,0.0,570.05,127.0,0.13385826771653545,0.2227874747829138,0.6,0.6666666666666666,0.023622047244094488,0.03937007874015748,0.31496062992125984,0.2440944881889764,0.1968503937007874,0.2440944881889764,0.02280501710376283,1
5,0.16666666666666666,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.01582974232697212,-0.38142865151166916,0.3333333333333333,0.5,0.0,0.16666666666666666,0.16666666666666666,0.0,0.8333333333333334,0.0,2.4507888768610253,5.8921904667904395,0.042733500535971906,0.005270092226613966,0.00922266139657444,759.0,0.7222222222222222,0.01582440768362907,0.0004395668801008074,0.004395668801008074,0.0,0.1063751849843954,0.010989172002520186,0.006153936321411304,2274.9666666666662,930.0,0.11935483870967742,0.4087971984937509,0.0,0.0,0.001075268817204301,0.0,0.15161290322580645,0.2645161290322581,0.28279569892473116,0.3010752688172043,0.0004395668801008074,1
6,0.21739130434782608,0.0,0.0,0.5217391304347826,0.17391304347826086,0.043478260869565216,0.0,0.033208200981807684,-1.1150754783302546,0.13043478260869565,0.2608695652173913,0.43478260869565216,0.17391304347826086,0.5652173913043478,0.0,0.43478260869565216,1.0,2.376787388582385,5.919870515679509,0.042052702073527036,0.029605263157894735,0.02631578947368421,304.0,0.75,0.011550678602367888,0.002887669650591972,0.001443834825295986,0.0,0.11261911637308691,0.005775339301183944,0.0,692.5999999999999,290.0,0.1482758620689655,0.41871209933583603,0.2727272727272727,0.25,0.013793103448275862,0.03793103448275862,0.23793103448275862,0.25517241379310346,0.2,0.30689655172413793,0.010106843777071904,0
10,0.4,0.0,0.0,0.6,0.2,0.6,0.0,0.015134698819493492,2.1231347816064954,0.8,0.0,0.0,0.2,0.2,0.0,0.8,1.0,0.527372276428629,4.798047686549956,0.016704677284056214,0.013513513513513514,0.0,74.0,1.0,0.004673989249824726,0.0,0.002336994624912363,0.0,0.11451273662070578,0.0070109838747370885,0.0,427.90000000000003,85.0,0.2,0.1986445431175508,0.25,0.0,0.0,0.047058823529411764,0.21176470588235294,0.25882352941176473,0.3411764705882353,0.18823529411764706,0.007010983874737088,3
13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.010395010395010394,-0.04843704402446747,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.7465167305863747,5.041583174950799,0.024633612709363997,0.02040816326530612,0.0,147.0,0.4375,0.018924086814248262,0.0023655108517810328,0.0047310217035620656,0.0,0.10289972205247493,0.023655108517810327,0.013010309684795681,845.4833333333333,179.0,0.2346368715083799,0.21171322123440242,1.0,0.0,0.0,0.00558659217877095,0.10614525139664804,0.1787709497206704,0.2905027932960894,0.4245810055865922,0.0011827554258905162,1
14,0.2971887550200803,0.0,0.004016064257028112,0.8995983935742972,0.024096385542168676,0.060240963855421686,0.0,0.01928436172505973,4.552119206637144,0.08433734939759036,0.12048192771084337,0.17269076305220885,0.6224899598393574,0.6706827309236948,0.4,0.27710843373493976,0.6,2.787571462023955,5.091815580874779,0.04835989700515993,0.016535232765199696,0.01939709997456118,15724.0,0.6693121693121693,0.03721076749668992,0.0009844118385367703,0.0025102501882687646,0.0,0.14652970216619826,0.0180147366452229,0.002953235515610311,20316.7,18781.0,0.1549438262073372,0.9244119369779541,0.3093980992608237,0.4881889763779528,0.006762153239976572,0.05042330014376231,0.382567488419147,0.26984718598583673,0.17437836110963206,0.17320696448538417,0.014963059945758908,0
