StatsbombID,Player,Pos,PosAdj,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Country,Starter
6648,Aïssa Mandi,DF,DF,34,10,10,823,9.1,1,0,1,1,0,0,1,0,0.11,0,0.11,0.11,0.11,Algeria,Y
141358,Mohamed Amoura,FW,FW,25,10,7,742,8.2,10,4,14,8,2,2,1,0,1.21,0.49,1.7,0.97,1.46,Algeria,Y
32015,Hicham Boudaoui,MF,MF,26,8,6,581,6.5,0,1,1,0,0,0,0,0,0,0.15,0.15,0,0.15,Algeria,Y
3191,Ramy Bensebaini,DF,DF,30,6,6,540,6,0,0,0,0,0,0,3,0,0,0,0,0,0,Algeria,Y
10040,Youcef Atal,DF,DF,29,8,7,532,5.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Algeria,Y
,Amine Gouiri,"FW,MF","FW,MF",25,9,7,525,5.8,1,1,2,1,0,0,1,0,0.17,0.17,0.34,0.17,0.34,Algeria,
3814,Riyad Mahrez,"FW,MF",FW,34,8,8,520,5.8,1,4,5,1,0,0,0,0,0.17,0.69,0.87,0.17,0.87,Algeria,Y
12111,Rayan Aït-Nouri,DF,DF,24,5,5,450,5,0,0,0,0,0,0,1,0,0,0,0,0,0,Algeria,Y
217047,Fares Chaïbi,MF,MF,23,8,5,450,5,1,1,2,1,0,0,0,0,0.2,0.2,0.4,0.2,0.4,Algeria,Y
,Alexis Guendouz,GK,GK,30,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Algeria,
160943,Mohamed Amine Tougai,DF,DF,26,5,4,437,4.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Algeria,
8520,Nabil Bentaleb,MF,MF,31,7,5,416,4.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Algeria,Y
41381,Anthony Mandrea,GK,GK,29,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Algeria,Y
,Jaouen Hadjam,DF,DF,22,5,4,337,3.7,1,0,1,1,0,0,0,0,0.27,0,0.27,0.27,0.27,Algeria,
38345,Ramiz Zerrouki,MF,MF,27,5,3,297,3.3,1,0,1,1,0,0,0,0,0.3,0,0.3,0.3,0.3,Algeria,Y
,Saïd Benrahma,"FW,MF","FW,MF",30,6,3,276,3.1,1,0,1,1,0,0,1,0,0.33,0,0.33,0.33,0.33,Algeria,
103465,Baghdad Bounedjah,FW,FW,34,5,3,256,2.8,3,1,4,3,0,0,2,0,1.05,0.35,1.41,1.05,1.41,Algeria,
4308,Houssem Aouar,MF,MF,27,4,3,241,2.7,1,0,1,1,0,0,1,0,0.37,0,0.37,0.37,0.37,Algeria,
3673,Yassine Benzia,MF,MF,31,4,2,168,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Algeria,
,Adem Zorgane,MF,MF,26,2,2,158,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Algeria,
,Rafik Belghali,DF,DF,23,2,2,156,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Algeria,
,Ibrahim Maza,MF,MF,20,3,1,120,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Algeria,
,Ahmed Kendouci,MF,MF,26,3,1,104,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Algeria,
,Youcef Belaïli,"FW,MF","FW,MF",33,4,0,94,1,0,1,1,0,0,0,0,0,0,0.96,0.96,0,0.96,Algeria,
34793,Yasser Larouci,DF,DF,25,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Algeria,
,Luca Zidane,GK,GK,27,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Algeria,
,Mohamed Amine Madani,DF,DF,32,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Algeria,
11515,Ismaël Bennacer,MF,MF,28,1,1,84,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Algeria,
,Anis Hadj Moussa,"FW,MF","FW,MF",23,3,0,74,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Algeria,
18724,Sofiane Feghouli,MF,MF,36,1,1,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Algeria,
10448,Adam Ounas,"FW,MF","FW,MF",29,2,0,62,0.7,0,1,1,0,0,0,0,0,0,1.45,1.45,0,1.45,Algeria,
11165,Yacine Brahimi,MF,MF,35,1,1,58,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Algeria,
286708,Kévin Van Den Kerkhof,"DF,MF","DF,MF",29,2,0,56,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Algeria,
47526,Ahmed Touba,DF,DF,27,2,0,53,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Algeria,
3811,Islam Slimani,FW,FW,37,2,1,39,0.4,1,0,1,1,0,0,0,0,2.31,0,2.31,2.31,2.31,Algeria,
,Monsef Bakrar,FW,FW,25,2,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Algeria,
,Mehdi Dorval,"DF,MF","DF,MF",24,1,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Algeria,
,Samir Chergui,DF,DF,26,1,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Algeria,
45039,Ilan Kebbal,"FW,MF","FW,MF",27,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Algeria,
,Amin Chiakha,FW,FW,19,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Algeria,
398993,Zineddine Belaid,DF,DF,26,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Algeria,
4448,Alexandre Oukidja,GK,GK,37,0,0,,,,,,,,,,,,,,,,Algeria,
51179,Moustapha Zeghba,GK,GK,35,0,0,,,,,,,,,,,,,,,,Algeria,
,Badredine Bouanani,MF,MF,21,0,0,,,,,,,,,,,,,,,,Algeria,
,Chouhaib Keddad,DF,DF,31,0,0,,,,,,,,,,,,,,,,Algeria,
,Naoufel Khacef,DF,DF,28,0,0,,,,,,,,,,,,,,,,Algeria,
,Oussama Benbot,GK,GK,31,0,0,,,,,,,,,,,,,,,,Algeria,
,Sohaib Nair,DF,DF,23,0,0,,,,,,,,,,,,,,,,Algeria,
,Zakaria Bouhalfaya,GK,GK,28,0,0,,,,,,,,,,,,,,,,Algeria,
3090,Nicolás Otamendi,DF,DF,37,17,17,"1,452",16.1,3,0,3,3,0,0,2,1,0.19,0,0.19,0.19,0.19,Argentina,Y
,Emiliano Martínez,GK,GK,33,16,16,"1,440",16,0,0,0,0,0,0,0,0,0,0,0,0,0,Argentina,
7797,Rodrigo De Paul,MF,MF,31,17,17,"1,353",15,0,1,1,0,0,0,2,0,0,0.07,0.07,0,0.07,Argentina,Y
29560,Julián Álvarez,FW,FW,26,18,16,"1,325",14.7,4,3,7,4,0,0,1,0,0.27,0.2,0.48,0.27,0.48,Argentina,Y
38718,Enzo Fernández,MF,MF,25,15,15,"1,267",14.1,2,3,5,2,0,0,2,1,0.14,0.21,0.36,0.14,0.36,Argentina,Y
20572,Cristian Romero,DF,DF,27,15,15,"1,260",14,0,0,0,0,0,0,4,0,0,0,0,0,0,Argentina,Y
29201,Nahuel Molina,DF,DF,27,16,14,"1,260",14,0,1,1,0,0,0,1,0,0,0.07,0.07,0,0.07,Argentina,Y
5507,Nicolás Tagliafico,DF,DF,33,15,14,"1,246",13.8,1,1,2,1,0,0,3,0,0.07,0.07,0.14,0.07,0.14,Argentina,Y
27886,Alexis Mac Allister,MF,MF,27,14,13,"1,041",11.6,2,0,2,2,0,0,1,0,0.17,0,0.17,0.17,0.17,Argentina,Y
5503,Lionel Messi,"FW,MF",FW,38,12,10,944,10.5,8,3,11,8,0,0,0,0,0.76,0.29,1.05,0.76,1.05,Argentina,Y
11456,Lautaro Martínez,FW,FW,28,14,8,738,8.2,4,1,5,4,0,0,2,0,0.49,0.12,0.61,0.49,0.61,Argentina,Y
20687,Nicolás González,"FW,MF","FW,MF",27,12,8,721,8,2,2,4,2,0,0,0,1,0.25,0.25,0.5,0.25,0.5,Argentina,
16308,Leandro Paredes,MF,MF,31,14,6,552,6.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Argentina,
28637,Thiago Almada,"MF,FW","MF,FW",24,7,6,476,5.3,3,2,5,3,0,0,1,0,0.57,0.38,0.95,0.57,0.95,Argentina,
33233,Leonardo Balerdi,DF,DF,27,7,3,330,3.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Argentina,
28263,Gonzalo Montiel,DF,DF,29,6,4,278,3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Argentina,
,Giuliano Simeone,MF,MF,23,7,3,276,3.1,1,0,1,1,0,0,0,0,0.33,0,0.33,0.33,0.33,Argentina,
3313,Giovani Lo Celso,MF,MF,29,9,2,251,2.8,0,2,2,0,0,0,1,0,0,0.72,0.72,0,0.72,Argentina,
28268,Exequiel Palacios,MF,MF,27,9,1,210,2.3,0,3,3,0,0,0,1,0,0,1.29,1.29,0,1.29,Argentina,
6694,Gerónimo Rulli,GK,GK,33,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Argentina,Y
2995,Ángel Di María,FW,FW,37,4,1,170,1.9,0,2,2,0,0,0,0,0,0,1.06,1.06,0,1.06,Argentina,
27768,Lisandro Martínez,DF,DF,28,3,2,159,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Argentina,
7161,Germán Pezzella,DF,DF,34,2,1,135,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Argentina,
19597,Marcos Acuña,DF,DF,34,5,1,128,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Argentina,
,Facundo Medina,DF,DF,26,4,1,105,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Argentina,
,Nicolás Paz,MF,MF,21,4,1,99,1.1,0,1,1,0,0,0,0,0,0,0.91,0.91,0,0.91,Argentina,
,Franco Mastantuono,MF,MF,18,3,1,98,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Argentina,
21081,Juan Foyth,DF,DF,28,3,0,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Argentina,
28728,Lucas Martínez Quarta,"DF,MF","DF,MF",29,1,0,57,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Argentina,
52129,Alejandro Garnacho,MF,MF,21,3,0,45,0.5,0,1,1,0,0,0,0,0,0,2,2,0,2,Argentina,
6377,Ángel Correa,"FW,MF","FW,MF",30,4,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Argentina,
5743,Paulo Dybala,"FW,MF","FW,MF",32,2,0,18,0.2,1,0,1,1,0,0,0,0,5,0,5,5,5,Argentina,
30081,Nehuén Pérez,DF,DF,25,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Argentina,
,Valentín Castellanos,FW,FW,27,2,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Argentina,
4345,Lucas Ocampos,"FW,MF","FW,MF",31,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Argentina,
3360,Walter Benítez,GK,GK,33,0,0,,,,,,,,,,,,,,,,Argentina,
6312,Franco Armani,GK,GK,39,0,0,,,,,,,,,,,,,,,,Argentina,
11813,Emi Buendía,"FW,MF","FW,MF",29,0,0,,,,,,,,,,,,,,,,Argentina,
26404,Guido Rodríguez,MF,MF,31,0,0,,,,,,,,,,,,,,,,Argentina,
,Alan Varela,MF,MF,24,0,0,,,,,,,,,,,,,,,,Argentina,
,Benjamín Domínguez,MF,MF,22,0,0,,,,,,,,,,,,,,,,Argentina,
,Enzo Barrenechea,MF,MF,24,0,0,,,,,,,,,,,,,,,,Argentina,
,Facundo Buonanotte,MF,MF,21,0,0,,,,,,,,,,,,,,,,Argentina,
,José Manuel López,FW,FW,25,0,0,,,,,,,,,,,,,,,,Argentina,
,Juan Musso,GK,GK,31,0,0,,,,,,,,,,,,,,,,Argentina,
,Julio Soler,DF,DF,20,0,0,,,,,,,,,,,,,,,,Argentina,
,Kevin Lomónaco,DF,DF,24,0,0,,,,,,,,,,,,,,,,Argentina,
,Matìas Soulé,"FW,MF","FW,MF",22,0,0,,,,,,,,,,,,,,,,Argentina,
,Máximo Perrone,MF,MF,23,0,0,,,,,,,,,,,,,,,,Argentina,
,Santiago Castro,FW,FW,21,0,0,,,,,,,,,,,,,,,,Argentina,
,Valentín Barco,"DF,MF","DF,MF",21,0,0,,,,,,,,,,,,,,,,Argentina,
5490,Jackson Irvine,MF,MF,32,14,14,"1,172",13,3,1,4,3,0,0,1,0,0.23,0.08,0.31,0.23,0.31,Australia,Y
,Cameron Burgess,DF,DF,30,12,12,"1,035",11.5,0,1,1,0,0,0,1,0,0,0.09,0.09,0,0.09,Australia,
3240,Mathew Ryan,GK,GK,33,11,11,990,11,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia,Y
22293,Harry Souttar,DF,DF,27,11,11,990,11,2,0,2,2,0,0,1,0,0.18,0,0.18,0.18,0.18,Australia,Y
5479,Aziz Behich,"MF,DF",DF,35,14,10,943,10.5,1,0,1,1,0,0,0,0,0.1,0,0.1,0.1,0.1,Australia,Y
,Lewis Miller,"MF,DF","MF,DF",25,10,9,786,8.7,2,1,3,2,0,0,0,0,0.23,0.11,0.34,0.23,0.34,Australia,
33492,Mitchell Duke,FW,FW,35,13,9,737,8.2,3,1,4,3,0,0,0,0,0.37,0.12,0.49,0.37,0.49,Australia,Y
,Connor Metcalfe,"MF,FW","MF,FW",26,9,8,664,7.4,1,2,3,1,0,0,1,0,0.14,0.27,0.41,0.14,0.41,Australia,
33495,Kye Rowles,DF,DF,27,8,7,631,7,1,0,1,1,0,0,2,0,0.14,0,0.14,0.14,0.14,Australia,Y
,Aiden O'Neill,MF,MF,27,10,6,608,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia,
8346,Craig Goodwin,"MF,FW",FW,34,9,7,581,6.5,3,6,9,3,0,0,2,0,0.46,0.93,1.39,0.46,1.39,Australia,Y
,Jason Geria,DF,DF,32,8,5,546,6.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Australia,
,Kusini Yengi,FW,FW,27,8,6,461,5.1,6,0,6,5,1,1,0,1,1.17,0,1.17,0.98,0.98,Australia,
,Joe Gauci,GK,GK,25,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia,
,Martin Boyle,"FW,MF","FW,MF",32,7,7,442,4.9,2,2,4,1,1,1,1,0,0.41,0.41,0.81,0.2,0.61,Australia,
,Jordy Bos,DF,DF,23,9,4,434,4.8,0,2,2,0,0,0,1,0,0,0.41,0.41,0,0.41,Australia,
33488,Keanu Baccus,MF,MF,27,6,5,405,4.5,1,0,1,1,0,0,4,0,0.22,0,0.22,0.22,0.22,Australia,Y
33477,Riley McGree,MF,MF,27,7,4,390,4.3,0,1,1,0,0,0,1,0,0,0.23,0.23,0,0.23,Australia,Y
,Alessandro Circati,DF,DF,22,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Australia,
,Brandon Borrello,"FW,MF","FW,MF",30,7,3,320,3.6,1,0,1,1,0,0,0,0,0.28,0,0.28,0.28,0.28,Australia,
