player_id,country_name,team_name,player_name,player_nickname
3062,England,West Ham United,Aaron Cresswell,
8308,Germany,Wolfsburg,Aaron Hunt,
8308,Germany,Hamburger SV,Aaron Hunt,
3953,England,Leeds United,Aaron Lennon,
3953,England,Everton,Aaron Lennon,
12757,United States of America,United States,Aaron Long,
3281,Australia,Australia,Aaron Mooy,
22783,England,England,Aaron Ramsdale,
4753,"Congo, (Kinshasa)",Congo DR,Aaron Tshibola,
25704,Spain,Málaga,Aarón Escandell Banacloche,Aarón Escandell
25704,Spain,Granada,Aarón Escandell Banacloche,Aarón Escandell
6757,Spain,Espanyol,Aarón Martín Caricol,Aarón Martín
6757,Spain,Celta Vigo,Aarón Martín Caricol,Aarón Martín
25849,Spain,Elche,Aarón Níguez Esclapez,Aaron Níguez
15573,England,Everton LFC,Abbey-Leigh Stringer,
4648,England,Manchester United,Abbie McManus,
5037,New Zealand,North Carolina Courage,Abby Erceg,
5251,Egypt,Egypt,Abdalla Mahmoud El Said Bekhit,Abdalla El Said
49520,Senegal,Angers,Abdallah Dipo Sima,Abdallah Sima
49520,Senegal,Senegal,Abdallah Dipo Sima,Abdallah Sima
49765,Algeria,Bordeaux,Abdel Jalil Zaim Idriss Medioub,Abdel Medioub
23933,Morocco,Getafe,Abdelaziz Barrada,
23933,Morocco,Marseille,Abdelaziz Barrada,
23329,Morocco,Stade de Reims,Abdelhamid El Kaoutari,
23329,Morocco,Palermo,Abdelhamid El Kaoutari,
3634,Morocco,Morocco,Abdelhamid Sabiri,
82674,Morocco,Deportivo Alavés,Abdelkabir Abqar,
82674,Morocco,Morocco,Abdelkabir Abqar,
26844,Algeria,Levante UD,Abdelkader Mohamed Ghezzal,
124494,Qatar,Qatar,Abdelkarim Hassan Al Haj Fadlalla,Abdelkarim Hassan
59493,Morocco,Morocco,Abderrazak Hamdallah,
149714,Morocco,Morocco,Abdessamad Ezzalzouli,Abde Ezzalzouli
35432,Panama,Panama,Abdiel Armando Ayarza Cocanegra,Abdiel Ayarza
6140,Panama,Panama,Abdiel Arroyo Molinar,Abdiel Arroyo
8553,Senegal,Senegal,Abdou Diallo,
8553,Senegal,Paris Saint-Germain,Abdou Diallo,
2953,Senegal,Gazélec Ajaccio,Abdou Kader Mangane,Kader Mangane
27092,France,Getafe,Abdoul Karim Yoda,
26683,France,Sevilla,Abdoulay Konko,
26683,France,Lazio,Abdoulay Konko,
11536,Senegal,Rayo Vallecano,Abdoulaye Ba,
2994,Senegal,Senegal,Abdoulaye Diallo,
2994,Senegal,Rennes,Abdoulaye Diallo,
104442,Senegal,Senegal,Abdoulaye Niakhate Ndiaye,
25759,Senegal,Senegal,Abdoulaye Seck,
3138,France,Nantes,Abdoulaye Touré,
31015,Portugal,Troyes,Abdu Conté,
136306,Ghana,Ghana,Abdul Fatawu Issahaku,
7615,Ghana,Lorient,Abdul Majeed Waris,Majeed Waris
52091,Ghana,Ghana,Abdul Manaf Nurudeen,
12325,Ghana,Ghana,Abdul Rahman Baba,Baba Rahman
12325,Ghana,Chelsea,Abdul Rahman Baba,Baba Rahman
124514,Qatar,Qatar,Abdulaziz Hatem Mohammed Abdullah,Abdulaziz Hatem
51094,Saudi Arabia,Saudi Arabia,Abdulelah Al Amri,
56755,Saudi Arabia,Saudi Arabia,Abdulelah Saad Hameed Al-Malki,Abdulelah Al Malki
51087,Saudi Arabia,Saudi Arabia,Abdullah Alkhaibari,
5189,Saudi Arabia,Saudi Arabia,Abdullah Ibrahim Al Maiouf,Abdullah Al Maiouf
5173,Saudi Arabia,Saudi Arabia,Abdullah Ibrahim Otayf,Abdullah Otayf
51103,Saudi Arabia,Saudi Arabia,Abdullah Mohammed Madu,Abdullah Madu
51551,Saudi Arabia,Saudi Arabia,Abdulmalek Abdullah Al Khaibri,Abdulmalek Al Khaibri
51705,Saudi Arabia,Saudi Arabia,Abdulrahman Al-Obood,Abdulrahman Al Obod
24067,Spain,Mallorca,Abdón Prats Bastidas,Abdón Prats
48383,Turkey,Turkey,Abdülkerim Bardakcı,
40097,Argentina,Fiorentina,Abel Eduardo Balbo,Abel Balbo
40097,Argentina,Argentina,Abel Eduardo Balbo,Abel Balbo
6192,Colombia,Real Zaragoza,Abel Enrique Aguilar Tapia,Abel Aguilar
6192,Colombia,RC Deportivo La Coruña,Abel Enrique Aguilar Tapia,Abel Aguilar
6192,Colombia,Hércules,Abel Enrique Aguilar Tapia,Abel Aguilar
6192,Colombia,Colombia,Abel Enrique Aguilar Tapia,Abel Aguilar
26503,Spain,Córdoba CF,Abel Gómez Moreno,Abel Gómez
26503,Spain,Real Murcia CF,Abel Gómez Moreno,Abel Gómez
26503,Spain,Granada,Abel Gómez Moreno,Abel Gómez
24976,Spain,Barcelona,Abel Ruiz Ortega,Abel Ruiz
397992,Argentina,Argentina U20,Abelardo Carabelli,
326758,"Iran, Islamic Republic of",Iran,Abolfazl Jalali,
27148,Spain,Espanyol,Abraham González Casanova,Abraham González
23942,Spain,Eibar,Abraham Minero Fernández,Abraham Minero
23942,Spain,Real Zaragoza,Abraham Minero Fernández,Abraham Minero
26749,Spain,Hércules,Abraham Paz Cruz,Abraham Paz
139016,Morocco,Morocco,Achraf Dari,
139016,Morocco,Stade Brestois,Achraf Dari,
5245,Morocco,Paris Saint-Germain,Achraf Hakimi Mouh,Achraf Hakimi
5245,Morocco,Morocco,Achraf Hakimi Mouh,Achraf Hakimi
10032,Morocco,Palermo,Achraf Lazaar,
398691,Brazil,Brazil,Acácio Cordeiro Barreto,
47345,Panama,Panama,Adalberto Eliécer Carrasquilla Alcázar,Adalberto Carrasquilla
409280,Spain,Bayern Munich,Adam Aznou Ben Cheikh,Adam Aznou
4090,England,Liverpool,Adam David Lallana,Adam Lallana
24888,Australia,AFC Bournemouth,Adam Federici,
26306,Paraguay,Paraguay,Adam Fernando Bareiro Gamarra,Adam Bareiro
4683,Czech Republic,VfB Stuttgart,Adam Hloušek,
28239,Czech Republic,Bayer Leverkusen,Adam Hložek,
28239,Czech Republic,Czech Republic,Adam Hložek,
42902,England,Sunderland,Adam Johnson,
7169,Morocco,Bologna,Adam Masina,
10448,Algeria,Algeria,Adam Ounas,
10448,Algeria,Bordeaux,Adam Ounas,
6409,England,AFC Bournemouth,Adam Smith,
77723,England,England,Adam Wharton,
2942,Senegal,Senegal,Adama Mbengue,
11333,Spain,Spain,Adama Traoré Diarra,Adama Traoré
11333,Spain,Aston Villa,Adama Traoré Diarra,Adama Traoré
10790,Portugal,Wolfsburg,Adelino André Vieira Freitas,Vieirinha
397869,Brazil,Brazil,Ademir da Guia,
27482,Brazil,Valencia,Aderllan Leandro de Jesus Santos,Aderllan Santos
31031,France,Lorient,Adil Aouchiche,
31031,France,Saint-Étienne,Adil Aouchiche,
3253,France,France,Adil Rami,
3253,France,Troyes,Adil Rami,
3253,France,Sevilla,Adil Rami,
3253,France,Valencia,Adil Rami,
67374,France,Charlotte,Adilson Malanda,
4828,Algeria,Watford,Adlène Guédioura,
8219,Switzerland,Bayer Leverkusen,Admir Mehmedi,
8219,Switzerland,Switzerland,Admir Mehmedi,
6330,Belgium,Real Sociedad,Adnan Januzaj,
6330,Belgium,Manchester United,Adnan Januzaj,
6330,Belgium,Belgium,Adnan Januzaj,
6330,Belgium,Borussia Dortmund,Adnan Januzaj,
8264,Morocco,Málaga,Adnane Tighadouini,
37498,Japan,Toulouse,Ado Onaiwu,
6346,Panama,Panama,Adolfo Abdiel Machado,Adolfo Machado
31744,Germany,FC Heidenheim,Adrian Beck,
8609,Austria,Lorient,Adrian Grbic,
39976,New Zealand,Seattle Sounders,Adrian Webster,
8297,Canada,West Ham United LFC,Adriana Kristina Leon,
8297,Canada,OL Reign,Adriana Kristina Leon,
22102,Brazil,Sevilla,Adriano Correia Claro,Adriano
22102,Brazil,Barcelona,Adriano Correia Claro,Adriano
26251,Brazil,Málaga,Adriano Ferreira Martins,Adriano Martins
3429,France,Rennes,Adrien Hunou,
3429,France,Angers,Adrien Hunou,
3026,France,Paris Saint-Germain,Adrien Rabiot,
3026,France,France,Adrien Rabiot,
16418,Morocco,Toulouse,Adrien Regattin,
3707,Portugal,Portugal,Adrien Sebastian Perruchet Silva,Adrien Silva
3375,France,Nantes,Adrien Thomasson,
3375,France,Strasbourg,Adrien Thomasson,
3375,France,Lens,Adrien Thomasson,
45026,France,Rennes,Adrien Truffert,
22287,Spain,Espanyol,Adrià Giner Pedrosa,Adrià Pedrosa
28657,Paraguay,Paraguay,Adrián Andrés Cubas,Andrés Cubas
26652,Spain,Recreativo Huelva,Adrián Colunga Pérez,Adrián Colunga
26652,Spain,Real Zaragoza,Adrián Colunga Pérez,Adrián Colunga
26652,Spain,Getafe,Adrián Colunga Pérez,Adrián Colunga
7062,Spain,Deportivo Alavés,Adrián Diéguez Grande,Adrián Diéguez
11539,Spain,Espanyol,Adrián Embarba Blázquez,Adri Embarba
11539,Spain,Rayo Vallecano,Adrián Embarba Blázquez,Adri Embarba
6557,Spain,Eibar,Adrián González Morales,Adrián González
6557,Spain,Rayo Vallecano,Adrián González Morales,Adrián González
6557,Spain,Racing Santander,Adrián González Morales,Adrián González
6557,Spain,Getafe,Adrián González Morales,Adrián González
6557,Spain,Málaga,Adrián González Morales,Adrián González
6557,Spain,Elche,Adrián González Morales,Adrián González
27237,Uruguay,Córdoba CF,Adrián Javier Gunino Duque,Adrián Gunino
26218,Spain,RC Deportivo La Coruña,Adrián López Rodríguez,Piscu
6735,Spain,Villarreal,Adrián López Álvarez,Adrián López
6735,Spain,Málaga,Adrián López Álvarez,Adrián López
6735,Spain,Atlético Madrid,Adrián López Álvarez,Adrián López
6735,Spain,RC Deportivo La Coruña,Adrián López Álvarez,Adrián López
6735,Spain,Osasuna,Adrián López Álvarez,Adrián López
6935,Spain,Villarreal,Adrián Marín Gómez,Adrián Marín
6935,Spain,Deportivo Alavés,Adrián Marín Gómez,Adrián Marín
6935,Spain,Granada,Adrián Marín Gómez,Adrián Marín
26304,Uruguay,Kerala Blasters,Adrián Nicolás Luna Retamar,Adrián Luna
30594,Spain,Deportivo Alavés,Adrián Ortolá Vañó,Adrián Ortolá
3623,Spain,West Ham United,Adrián San Miguel del Castillo,Adrián
3623,Spain,Real Betis,Adrián San Miguel del Castillo,Adrián
20001,Spain,Getafe,Adrián Sardinero Corpa,Adrián Sardinero
31687,Brazil,Nantes,Adryan Oliveira Tavares,Adryan
7474,Ghana,Torino,Afriyie Acquah,
6845,Spain,Athletic Club,Ager Aketxe Barrutia,Ager Aketxe
397788,Sweden,Sweden,Agne Simonsson,
81580,England,Chelsea FCW,Agnes Beever-Jones,
15603,Spain,Real Zaragoza,Agustín Aranzábal Alkorta,Agustín Aranzábal
36666,Uruguay,Uruguay,Agustín Canobbio Graviz,Agustín Canobbio
24631,Spain,Albacete,Agustín García Iñiguez,Agus
124167,"Iran, Islamic Republic of",Iran,Ahmad Nourollahi,
124490,Qatar,Qatar,Ahmed Alaa Eldin Abdelmotaal,Ahmed Alaa Eldin
9631,Egypt,Egypt,Ahmed Eissa El Mohamady Abdel Fattah,Ahmed El Mohamady
4063,Egypt,Egypt,Ahmed Elsayed Ali Elsayed Hegazy,Ahmed Hegazy
5250,Egypt,Egypt,Ahmed Fathy Abdel Meneim Ibrahim,Ahmed Fathy
15311,Egypt,Egypt,Ahmed Hassan Mahgoub,Koka
159771,Morocco,Mumbai City,Ahmed Jahouh,
6348,Tunisia,Tunisia,Ahmed Khalil,
67737,Egypt,Egypt,Ahmed Mohamed Abo El Fotouh Mohamed,Ahmed El Fotouh
81256,Egypt,Egypt,Ahmed Nasser Abdel Razek El Shenawy,Ahmed Al Shenawy
139011,Morocco,Morocco,Ahmed Reda Tagnaouti,
66878,Egypt,Egypt,Ahmed Sayed,Zizo
47526,Algeria,Algeria,Ahmed Touba,
48718,Germany,Hamburger SV,Ahmet Metin Arslan,Ahmet Arslan
47383,Turkey,Turkey,Ahmetcan Kaplan,
22452,Spain,Real Sociedad,Aihen Muñoz Capellán,Ahien Muñoz
40115,Spain,Osasuna,Aimar Oroz,
36801,England,Manchester United,Aimee Palmer,
43074,France,Saint-Étienne,Aimen Moueffek,
13607,Spain,Goa,Airam López Cabrera,Airam Cabrera
27563,Spain,Osasuna,Aitor Buñuel Redrado,Aitor Buñuel
23344,Spain,Levante UD,Aitor Fernández Abarisketa,Aitor Fernández
26431,Spain,Real Sociedad,Aitor López Rekarte,Aitor López Rekarte
26431,Spain,Almería,Aitor López Rekarte,Aitor López Rekarte
26847,Spain,Rayo Vallecano,Aitor Núñez Martín,Aitor Núñez
25950,Spain,Athletic Club,Aitor Ocio Carrión,Aitor Ocio
25950,Spain,Sevilla,Aitor Ocio Carrión,Aitor Ocio
26500,Spain,Athletic Club,Aitor Ramos Leniz,Aitor Ramos
6851,Spain,Leganés,Aitor Ruibal García,Aitor Ruibal
