season,competition_stage,competition,match_status,match_week,home_team,home_team_id,home_managers,away_team_id,away_team,away_managers,stadium_id,referee_id,is_youth,is_international,country_name,season_name,count(DISTINCT match_id)
2022,Group Stage,FIFA World Cup,available,2,Tunisia,777,"[{""id"":1001303,""name"":""Jalel Kadri"",""nickname"":null,""dob"":null,""country"":{""id"":232,""name"":""Tunisia""}}]",792,Australia,"[{""id"":5696,""name"":""Graham James Arnold"",""nickname"":null,""dob"":""1963-08-03"",""country"":{""id"":14,""name"":""Australia""}}]",117897,225,false,true,International,2022,1
2018,Regular Season,NWSL,available,6,NJ/NY Gotham FC,763,"[{""id"":140,""name"":""Denise Reddy"",""nickname"":null,""dob"":""1970-09-14"",""country"":{""id"":241,""name"":""United States of America""}}]",766,North Carolina Courage,"[{""id"":127,""name"":""Paul Riley"",""nickname"":null,""dob"":""1963-09-23"",""country"":{""id"":68,""name"":""England""}}]",243,134,false,false,United States of America,2018,1
2015/2016,Regular Season,1. Bundesliga,available,28,Borussia Mönchengladbach,185,"[{""id"":3650,""name"":""André Schubert"",""nickname"":null,""dob"":""1971-07-24"",""country"":{""id"":85,""name"":""Germany""}}]",173,Hertha Berlin,"[{""id"":51,""name"":""Pál Dárdai"",""nickname"":null,""dob"":""1976-03-16"",""country"":{""id"":103,""name"":""Hungary""}}]",372,228,false,false,Germany,2015/2016,1
2008/2009,Regular Season,La Liga,available,20,Barcelona,217,"[{""id"":36,""name"":""Josep Guardiola i Sala"",""nickname"":""Pep Guardiola"",""dob"":""1971-01-18"",""country"":{""id"":214,""name"":""Spain""}}]",444,CD Numancia de Soria,"[{""id"":5041,""name"":""Sergije Krešić Juric"",""nickname"":null,""dob"":""1946-11-29"",""country"":{""id"":56,""name"":""Croatia""}}]",342,1001,false,false,Spain,2008/2009,1
2022,Group Stage,UEFA Women's Euro,available,1,Germany Women's,857,"[{""id"":53,""name"":""Martina Voss-Tecklenburg"",""nickname"":null,""dob"":""1967-12-22"",""country"":{""id"":85,""name"":""Germany""}}]",853,Denmark Women's,"[{""id"":3574,""name"":""Lars Søndergaard"",""nickname"":null,""dob"":""1959-04-05"",""country"":{""id"":61,""name"":""Denmark""}}]",116926,723,false,true,Europe,2022,1
2015/2016,Regular Season,Ligue 1,available,31,Lyon,137,"[{""id"":283,""name"":""Bruno Génésio"",""nickname"":null,""dob"":""1966-09-01"",""country"":{""id"":78,""name"":""France""}}]",144,Nantes,"[{""id"":438,""name"":""Michel Der Zakarian"",""nickname"":null,""dob"":""1963-02-18"",""country"":{""id"":12,""name"":""Armenia""}}]",193,92,false,false,France,2015/2016,1
2015/2016,Regular Season,Premier League,available,26,Everton,29,"[{""id"":263,""name"":""Roberto Martínez Montoliú"",""nickname"":""Roberto Martínez"",""dob"":""1973-07-13"",""country"":{""id"":214,""name"":""Spain""}}]",27,West Bromwich Albion,"[{""id"":300,""name"":""Tony Pulis"",""nickname"":null,""dob"":""1958-01-16"",""country"":{""id"":249,""name"":""Wales""}}]",12,1,false,false,England,2015/2016,1
2020/2021,Regular Season,FA Women's Super League,available,15,Birmingham City WFC,969,"[{""id"":3978,""name"":""Carla Ward"",""nickname"":null,""dob"":""1982-12-21"",""country"":{""id"":68,""name"":""England""}}]",2647,Aston Villa,"[{""id"":5424,""name"":""Marcus Bignot"",""nickname"":null,""dob"":""1974-08-22"",""country"":{""id"":68,""name"":""England""}}]",5332,918,false,false,England,2020/2021,1
2015/2016,Regular Season,La Liga,available,19,Levante UD,221,"[{""id"":677,""name"":""Joan Francesc Ferrer Sicilia"",""nickname"":""Rubí"",""dob"":""1970-02-05"",""country"":{""id"":214,""name"":""Spain""}}]",360,Rayo Vallecano,"[{""id"":220,""name"":""Francisco Jémez Martín"",""nickname"":""Paco Jémez"",""dob"":""1970-04-18"",""country"":{""id"":214,""name"":""Spain""}}]",350,2692,false,false,Spain,2015/2016,1
2015/2016,Regular Season,1. Bundesliga,available,9,FC Köln,186,"[{""id"":43,""name"":""Peter Stöger"",""nickname"":null,""dob"":""1966-04-11"",""country"":{""id"":15,""name"":""Austria""}}]",178,Hannover 96,"[{""id"":1003174,""name"":""Michael Frontzeck"",""nickname"":null,""dob"":""1964-03-26"",""country"":{""id"":85,""name"":""Germany""}}]",363,245,false,false,Germany,2015/2016,1
2018,Regular Season,NWSL,available,11,Portland Thorns,765,"[{""id"":129,""name"":""Mark Richard David Parsons"",""nickname"":null,""dob"":""1986-08-08"",""country"":{""id"":68,""name"":""England""}}]",766,North Carolina Courage,"[{""id"":127,""name"":""Paul Riley"",""nickname"":null,""dob"":""1963-09-23"",""country"":{""id"":68,""name"":""England""}}]",241,441,false,false,United States of America,2018,1
2015/2016,Regular Season,Ligue 1,available,29,Bordeaux,146,"[{""id"":752,""name"":""Willy Sagnol"",""nickname"":null,""dob"":""1977-03-18"",""country"":{""id"":78,""name"":""France""}}]",160,Gazélec Ajaccio,"[{""id"":121,""name"":""Thierry Laurey"",""nickname"":null,""dob"":""1964-02-17"",""country"":{""id"":78,""name"":""France""}}]",4812,90,false,false,France,2015/2016,1
2018/2019,Regular Season,FA Women's Super League,available,12,Yeovil Town LFC,970,"[{""id"":147,""name"":""Lee Burch"",""nickname"":null,""dob"":""1984-06-21"",""country"":{""id"":68,""name"":""England""}}]",972,West Ham United LFC,"[{""id"":139,""name"":""Matt Beard"",""nickname"":null,""dob"":""1978-01-09"",""country"":{""id"":68,""name"":""England""}}]",4847,922,false,false,England,2018/2019,1
2018,Round of 16,FIFA World Cup,available,4,Croatia,785,"[{""id"":307,""name"":""Zlatko Dalić"",""nickname"":null,""dob"":""1966-10-26"",""country"":{""id"":56,""name"":""Croatia""}}]",776,Denmark,"[{""id"":641,""name"":""Åge Fridtjof Hareide"",""nickname"":""Åge Hareide"",""dob"":""1953-09-23"",""country"":{""id"":171,""name"":""Norway""}}]",4263,730,false,true,International,2018,1
2015/2016,Regular Season,Premier League,available,23,Norwich City,56,"[{""id"":41,""name"":""Alex Neil"",""nickname"":null,""dob"":""1981-06-09"",""country"":{""id"":201,""name"":""Scotland""}}]",24,Liverpool,"[{""id"":94,""name"":""Jürgen Klopp"",""nickname"":null,""dob"":""1967-06-16"",""country"":{""id"":85,""name"":""Germany""}}]",220,10,false,false,England,2015/2016,1
