player_id,country_name,team_name,player_name,player_nickname
46756,Côte d'Ivoire,Lorient,Abdoul Bamo Meité,Bamo Meïté
4439,Côte d'Ivoire,Angers,Abdoulaye Bamba,
408674,Côte d'Ivoire,Mali,Aboubacar Traoré,
26682,Côte d'Ivoire,Sevilla,Alain Didier Zokora-Déguy,Didier Zokora
26696,Côte d'Ivoire,Everton,Arouna Koné,
26696,Côte d'Ivoire,Levante UD,Arouna Koné,
26696,Côte d'Ivoire,Sevilla,Arouna Koné,
27335,Côte d'Ivoire,Málaga,Arthur Etienne Boka,Arthur Boka
40348,Côte d'Ivoire,Inter Milan,Assane Demoya Gnoukouri,Assane Gnoukouri
389105,Côte d'Ivoire,Côte d'Ivoire,Ayayi Charles Folly,
136062,Côte d'Ivoire,Côte d'Ivoire,Badra Ali Sangaré,
350487,Côte d'Ivoire,AC Ajaccio,Ben Hamed Touré,
7857,Côte d'Ivoire,Marseille,Brice Dja Djédjé,
40527,Côte d'Ivoire,Guingamp,Brou Benjamin Angoua,Benjamin Angoua
6683,Côte d'Ivoire,Levante UD,Cheick Doukouré,
42900,Côte d'Ivoire,Newcastle United,Cheik Ismaël Tioté,Cheik Tioté
23779,Côte d'Ivoire,Union Berlin,Chris Vianney Bedia,Chris Bedia
26480,Côte d'Ivoire,Espanyol,Christian Koffi Romaric N''Dri,Romaric
26480,Côte d'Ivoire,Sevilla,Christian Koffi Romaric N''Dri,Romaric
2970,Côte d'Ivoire,Caen,Christian Kouakou Yao,Christian Kouakou
12496,Côte d'Ivoire,Côte d'Ivoire,Christian Kouamé,
89326,Côte d'Ivoire,Union Berlin,David Datro Fofana,
20352,Côte d'Ivoire,Chelsea,Didier Yves Drogba Tébily,Didier Drogba
49705,Côte d'Ivoire,Stade de Reims,Emmanuel Agbadou,
3324,Côte d'Ivoire,Villarreal,Eric Bertrand Bailly,Eric Bailly
3324,Côte d'Ivoire,Marseille,Eric Bertrand Bailly,Eric Bailly
3324,Côte d'Ivoire,Espanyol,Eric Bertrand Bailly,Eric Bailly
25895,Côte d'Ivoire,Levante UD,Felix Dja Ettien Yohou,Félix Dja Ettien
7023,Côte d'Ivoire,Côte d'Ivoire,Franck Yannick Kessié,Franck Kessié
10330,Côte d'Ivoire,Lille,Gadji Celi Carmen Junior Tallo,Junior Tallo
15818,Côte d'Ivoire,AS Roma,Gervais Lombe Yao Kouassi,Gervinho
10039,Côte d'Ivoire,Stade de Reims,Ghislain Konan,
10039,Côte d'Ivoire,Côte d'Ivoire,Ghislain Konan,
3018,Côte d'Ivoire,Rennes,Giovanni-Guy Yann Sio,Giovanni Sio
3162,Côte d'Ivoire,Lyon,Gnaly Maxwell Cornet,Maxwel Cornet
3087,Côte d'Ivoire,Manchester City,Gnégnéri Yaya Touré,Yaya Touré
3087,Côte d'Ivoire,Barcelona,Gnégnéri Yaya Touré,Yaya Touré
7438,Côte d'Ivoire,OGC Nice,Hassane Kamara,
7438,Côte d'Ivoire,Stade de Reims,Hassane Kamara,
3017,Côte d'Ivoire,Côte d'Ivoire,Ibrahim Sangaré,
23307,Côte d'Ivoire,Côte d'Ivoire,Idrissa Doumbia,
23307,Côte d'Ivoire,Huesca,Idrissa Doumbia,
24901,Côte d'Ivoire,Bastia,Ismaël Chester Diallo,
24901,Côte d'Ivoire,Côte d'Ivoire,Ismaël Chester Diallo,
24901,Côte d'Ivoire,AC Ajaccio,Ismaël Chester Diallo,
3797,Côte d'Ivoire,Caen,Ismaël Tiémoko Diomandé,Ismaël Diomandé
3797,Côte d'Ivoire,Saint-Étienne,Ismaël Tiémoko Diomandé,Ismaël Diomandé
3045,Côte d'Ivoire,Angers,Ismaël Traoré,
2940,Côte d'Ivoire,Strasbourg,Jean Eudès Aholou,
3359,Côte d'Ivoire,Côte d'Ivoire,Jean Michaël Seri,
3359,Côte d'Ivoire,OGC Nice,Jean Michaël Seri,
23957,Côte d'Ivoire,Côte d'Ivoire,Jean Thierry Lazare Amani,
31174,Côte d'Ivoire,Toulouse,Jean-Daniel Akpa Akpro,
43072,Côte d'Ivoire,Côte d'Ivoire,Jean-Philippe Krasso,
43072,Côte d'Ivoire,Saint-Étienne,Jean-Philippe Krasso,
4909,Côte d'Ivoire,Granada,Jeremie Boga,Jérémie Boga
4909,Côte d'Ivoire,Rennes,Jeremie Boga,Jérémie Boga
4909,Côte d'Ivoire,Côte d'Ivoire,Jeremie Boga,Jérémie Boga
4256,Côte d'Ivoire,Lille,Jonathan Bamba,
4256,Côte d'Ivoire,Saint-Étienne,Jonathan Bamba,
4256,Côte d'Ivoire,Côte d'Ivoire,Jonathan Bamba,
24079,Côte d'Ivoire,Mallorca,Júnior Wakalibille Lago,Lago Junior
26641,Côte d'Ivoire,Recreativo Huelva,Kanga Gauthier Akalé,Kanga Akalé
136074,Côte d'Ivoire,Côte d'Ivoire,Karim Konaté,
38412,Côte d'Ivoire,Arsenal,Kolo Habib Touré,Kolo Touré
38412,Côte d'Ivoire,Liverpool,Kolo Habib Touré,Kolo Touré
3021,Côte d'Ivoire,Lille,Kouadio Yves Dabila,
3553,Côte d'Ivoire,Sporting Gijón,Lacina Traoré,
3553,Côte d'Ivoire,AS Monaco,Lacina Traoré,
13286,Côte d'Ivoire,Sunderland,Lamine Koné,
13286,Côte d'Ivoire,Lorient,Lamine Koné,
7301,Côte d'Ivoire,Troyes,Lossémy Karaboué,
3174,Côte d'Ivoire,Nantes,Lévy Koffi Djidji,Koffi Djidji
26553,Côte d'Ivoire,Leganés,Mamadou Koné,
26553,Côte d'Ivoire,Racing Santander,Mamadou Koné,
4416,Côte d'Ivoire,Côte d'Ivoire,Max-Alain Gradel,Max Gradel
4416,Côte d'Ivoire,AFC Bournemouth,Max-Alain Gradel,Max Gradel
